State,Avg_Tuitionfee_In,Avg_Tuitionfee_Out,Avg_Debt_Mdn
AK,5976,18184,9500
AL,15156,20549,16051
AR,16163,19378,12815
AZ,21070,26436,12821
CA,28360,34175,16928
CO,14156,26165,13945
CT,24150,32213,17732
DC,37667,37667,17885
DE,15336,24678,17667
FL,17919,23264,14314
GA,17854,22475,15535
HI,11983,20731,11250
IA,28314,30091,18112
ID,10792,17585,13561
IL,26307,28696,17820
IN,24215,28801,17162
KS,20460,23064,14598
KY,19870,23546,14127
LA,14472,22048,14286
MA,31715,35042,19072
MD,22879,29279,17669
ME,22752,29366,17838
MI,22147,27357,19002
MN,25644,27128,17950
MO,19767,22314,15866
MS,10889,14974,15824
MT,14153,24079,14659
NC,20231,25192,16118
ND,10741,14844,13212
NE,20096,22088,16711
NH,28376,34373,20071
NJ,26514,31312,18137
NM,8280,17694,10497
NV,15158,24432,13167
NY,27239,30574,17235
OH,24989,27299,18272
OK,15307,20198,12998
OR,24711,32571,16983
PA,26053,29103,20038
PR,2404,4771,4633
RI,33307,38837,20086
SC,19030,25464,16294
SD,16476,18236,16418
TN,20656,23920,15869
TX,18998,24345,14533
UT,12036,21009,10312
VA,25316,31936,17995
VI,5235,14496,7366
VT,23413,32358,17114
WA,24481,32667,17239
WI,22149,26129,19120
WV,15280,20388,13954
WY,5055,16215,11250